CurrentTime,ExpectedTime,Bus
2023-02-26 19:37:00,2023-02-26 19:41:00,40
2023-02-26 19:37:00,2023-02-26 19:59:00,4
2023-02-26 19:37:00,2023-02-26 20:01:00,7A
2023-02-26 19:37:00,2023-02-26 20:02:00,40
2023-02-26 19:37:00,2023-02-26 20:16:00,7
2023-02-26 19:37:00,2023-02-26 20:17:00,40
2023-02-26 19:37:00,2023-02-26 20:27:00,4
2023-02-26 19:37:00,2023-02-26 20:29:00,7A
2023-02-26 19:39:03,2023-02-26 19:40:00,40
2023-02-26 19:39:03,2023-02-26 19:46:00,7
2023-02-26 19:39:03,2023-02-26 19:59:00,4
2023-02-26 19:39:03,2023-02-26 20:02:00,40
2023-02-26 19:39:03,2023-02-26 20:16:00,7
2023-02-26 19:39:03,2023-02-26 20:17:00,40
2023-02-26 19:39:03,2023-02-26 20:27:00,4
2023-02-26 19:39:03,2023-02-26 20:29:00,7A
2023-02-26 19:39:03,2023-02-26 20:37:00,40
2023-02-26 19:40:03,2023-02-26  19:40:00,40
2023-02-26 19:40:03,2023-02-26 19:46:00,7
2023-02-26 19:40:03,2023-02-26 19:59:00,4
2023-02-26 19:40:03,2023-02-26 20:04:00,40
2023-02-26 19:40:03,2023-02-26 20:16:00,7
2023-02-26 19:40:03,2023-02-26 20:17:00,40
2023-02-26 19:40:03,2023-02-26 20:27:00,4
2023-02-26 19:40:03,2023-02-26 20:29:00,7A
2023-02-26 19:40:03,2023-02-26 20:37:00,40
2023-02-26 19:41:02,2023-02-26 19:46:00,7
2023-02-26 19:41:02,2023-02-26 19:59:00,4
2023-02-26 19:41:02,2023-02-26 20:01:00,7A
2023-02-26 19:41:02,2023-02-26 20:04:00,40
2023-02-26 19:41:02,2023-02-26 20:16:00,7
2023-02-26 19:41:02,2023-02-26 20:17:00,40
2023-02-26 19:41:02,2023-02-26 20:27:00,4
2023-02-26 19:41:02,2023-02-26 20:29:00,7A
2023-02-26 19:41:02,2023-02-26 20:37:00,40
2023-02-26 19:42:03,2023-02-26 19:46:00,7
2023-02-26 19:42:03,2023-02-26 19:59:00,4
2023-02-26 19:42:03,2023-02-26 20:01:00,7A
2023-02-26 19:42:03,2023-02-26 20:04:00,40
2023-02-26 19:42:03,2023-02-26 20:16:00,7
2023-02-26 19:42:03,2023-02-26 20:17:00,40
2023-02-26 19:42:03,2023-02-26 20:27:00,4
2023-02-26 19:42:03,2023-02-26 20:29:00,7A
2023-02-26 19:42:03,2023-02-26 20:37:00,40
2023-02-26 19:43:03,2023-02-26 19:46:00,7
2023-02-26 19:43:03,2023-02-26 19:59:00,4
2023-02-26 19:43:03,2023-02-26 20:01:00,7A
2023-02-26 19:43:03,2023-02-26 20:04:00,40
2023-02-26 19:43:03,2023-02-26 20:16:00,7
2023-02-26 19:43:03,2023-02-26 20:19:00,40
2023-02-26 19:43:03,2023-02-26 20:27:00,4
2023-02-26 19:43:03,2023-02-26 20:29:00,7A
2023-02-26 19:43:03,2023-02-26 20:37:00,40
2023-02-26 19:44:03,2023-02-26 19:46:00,7
2023-02-26 19:44:03,2023-02-26 19:59:00,4
2023-02-26 19:44:03,2023-02-26 20:01:00,7A
2023-02-26 19:44:03,2023-02-26 20:04:00,40
2023-02-26 19:44:03,2023-02-26 20:16:00,7
2023-02-26 19:44:03,2023-02-26 20:19:00,40
2023-02-26 19:44:03,2023-02-26 20:27:00,4
2023-02-26 19:44:03,2023-02-26 20:29:00,7A
2023-02-26 19:44:03,2023-02-26 20:37:00,40
2023-02-26 19:45:03,2023-02-26 19:46:00,7
2023-02-26 19:45:03,2023-02-26 19:59:00,4
2023-02-26 19:45:03,2023-02-26 20:01:00,7A
2023-02-26 19:45:03,2023-02-26 20:04:00,40
2023-02-26 19:45:03,2023-02-26 20:16:00,7
2023-02-26 19:45:03,2023-02-26 20:19:00,40
2023-02-26 19:45:03,2023-02-26 20:27:00,4
2023-02-26 19:45:03,2023-02-26 20:29:00,7A
2023-02-26 19:45:03,2023-02-26 20:37:00,40
2023-02-26 19:46:10,2023-02-26  19:46:00,7
2023-02-26 19:46:10,2023-02-26 19:59:00,4
2023-02-26 19:46:10,2023-02-26 20:01:00,7A
2023-02-26 19:46:10,2023-02-26 20:04:00,40
2023-02-26 19:46:10,2023-02-26 20:16:00,7
2023-02-26 19:46:10,2023-02-26 20:19:00,40
2023-02-26 19:46:10,2023-02-26 20:27:00,4
2023-02-26 19:46:10,2023-02-26 20:29:00,7A
2023-02-26 19:46:10,2023-02-26 20:37:00,40
2023-02-26 19:47:03,2023-02-26 19:57:00,4
2023-02-26 19:47:03,2023-02-26 20:01:00,7A
2023-02-26 19:47:03,2023-02-26 20:04:00,40
2023-02-26 19:47:03,2023-02-26 20:16:00,7
2023-02-26 19:47:03,2023-02-26 20:19:00,40
2023-02-26 19:47:03,2023-02-26 20:27:00,4
2023-02-26 19:47:03,2023-02-26 20:29:00,7A
2023-02-26 19:47:03,2023-02-26 20:37:00,40
2023-02-26 19:47:03,2023-02-26 20:46:00,7
2023-02-26 19:48:02,2023-02-26 19:57:00,4
2023-02-26 19:48:02,2023-02-26 20:01:00,7A
2023-02-26 19:48:02,2023-02-26 20:04:00,40
2023-02-26 19:48:02,2023-02-26 20:16:00,7
2023-02-26 19:48:02,2023-02-26 20:19:00,40
2023-02-26 19:48:02,2023-02-26 20:27:00,4
2023-02-26 19:48:02,2023-02-26 20:29:00,7A
2023-02-26 19:48:02,2023-02-26 20:37:00,40
2023-02-26 19:48:02,2023-02-26 20:46:00,7
2023-02-26 19:49:02,2023-02-26 19:58:00,4
2023-02-26 19:49:02,2023-02-26 20:01:00,7A
2023-02-26 19:49:02,2023-02-26 20:04:00,40
2023-02-26 19:49:02,2023-02-26 20:16:00,7
2023-02-26 19:49:02,2023-02-26 20:19:00,40
2023-02-26 19:49:02,2023-02-26 20:27:00,4
2023-02-26 19:49:02,2023-02-26 20:29:00,7A
2023-02-26 19:49:02,2023-02-26 20:37:00,40
2023-02-26 19:49:02,2023-02-26 20:46:00,7
2023-02-26 19:50:04,2023-02-26 19:57:00,4
2023-02-26 19:50:04,2023-02-26 20:01:00,7A
2023-02-26 19:50:04,2023-02-26 20:06:00,40
2023-02-26 19:50:04,2023-02-26 20:16:00,7
2023-02-26 19:50:04,2023-02-26 20:19:00,40
2023-02-26 19:50:04,2023-02-26 20:27:00,4
2023-02-26 19:50:04,2023-02-26 20:29:00,7A
2023-02-26 19:50:04,2023-02-26 20:37:00,40
2023-02-26 19:50:04,2023-02-26 20:46:00,7
2023-02-26 19:51:03,2023-02-26 19:57:00,4
2023-02-26 19:51:03,2023-02-26 20:01:00,7A
2023-02-26 19:51:03,2023-02-26 20:06:00,40
2023-02-26 19:51:03,2023-02-26 20:16:00,7
2023-02-26 19:51:03,2023-02-26 20:19:00,40
2023-02-26 19:51:03,2023-02-26 20:27:00,4
2023-02-26 19:51:03,2023-02-26 20:29:00,7A
2023-02-26 19:51:03,2023-02-26 20:37:00,40
2023-02-26 19:51:03,2023-02-26 20:46:00,7
2023-02-26 19:52:03,2023-02-26 19:57:00,4
2023-02-26 19:52:03,2023-02-26 20:01:00,7A
2023-02-26 19:52:03,2023-02-26 20:06:00,40
2023-02-26 19:52:03,2023-02-26 20:16:00,7
2023-02-26 19:52:03,2023-02-26 20:19:00,40
2023-02-26 19:52:03,2023-02-26 20:27:00,4
2023-02-26 19:52:03,2023-02-26 20:29:00,7A
2023-02-26 19:52:03,2023-02-26 20:37:00,40
2023-02-26 19:52:03,2023-02-26 20:46:00,7
2023-02-26 19:53:04,2023-02-26 19:57:00,4
2023-02-26 19:53:04,2023-02-26 20:01:00,7A
2023-02-26 19:53:04,2023-02-26 20:06:00,40
2023-02-26 19:53:04,2023-02-26 20:16:00,7
2023-02-26 19:53:04,2023-02-26 20:19:00,40
2023-02-26 19:53:04,2023-02-26 20:27:00,4
2023-02-26 19:53:04,2023-02-26 20:29:00,7A
2023-02-26 19:53:04,2023-02-26 20:37:00,40
2023-02-26 19:53:04,2023-02-26 20:46:00,7
2023-02-26 19:53:04,2023-02-26 20:52:00,40
2023-02-26 19:54:03,2023-02-26 19:57:00,4
2023-02-26 19:54:03,2023-02-26 20:01:00,7A
2023-02-26 19:54:03,2023-02-26 20:06:00,40
2023-02-26 19:54:03,2023-02-26 20:16:00,7
2023-02-26 19:54:03,2023-02-26 20:19:00,40
2023-02-26 19:54:03,2023-02-26 20:27:00,4
2023-02-26 19:54:03,2023-02-26 20:29:00,7A
2023-02-26 19:54:03,2023-02-26 20:37:00,40
2023-02-26 19:54:03,2023-02-26 20:46:00,7
2023-02-26 19:54:03,2023-02-26 20:52:00,40
2023-02-26 19:55:03,2023-02-26 19:57:00,4
2023-02-26 19:55:03,2023-02-26 20:01:00,7A
2023-02-26 19:55:03,2023-02-26 20:06:00,40
2023-02-26 19:55:03,2023-02-26 20:16:00,7
2023-02-26 19:55:03,2023-02-26 20:19:00,40
2023-02-26 19:55:03,2023-02-26 20:27:00,4
2023-02-26 19:55:03,2023-02-26 20:29:00,7A
2023-02-26 19:55:03,2023-02-26 20:37:00,40
2023-02-26 19:55:03,2023-02-26 20:46:00,7
2023-02-26 19:55:03,2023-02-26 20:52:00,40
2023-02-26 19:56:03,2023-02-26  19:56:00,4
2023-02-26 19:56:03,2023-02-26 20:01:00,7A
2023-02-26 19:56:03,2023-02-26 20:06:00,40
2023-02-26 19:56:03,2023-02-26 20:16:00,7
2023-02-26 19:56:03,2023-02-26 20:19:00,40
2023-02-26 19:56:03,2023-02-26 20:27:00,4
2023-02-26 19:56:03,2023-02-26 20:29:00,7A
2023-02-26 19:56:03,2023-02-26 20:37:00,40
2023-02-26 19:56:03,2023-02-26 20:46:00,7
2023-02-26 19:56:03,2023-02-26 20:52:00,40
2023-02-26 19:57:03,2023-02-26 20:01:00,7A
2023-02-26 19:57:03,2023-02-26 20:08:00,40
2023-02-26 19:57:03,2023-02-26 20:16:00,7
2023-02-26 19:57:03,2023-02-26 20:19:00,40
2023-02-26 19:57:03,2023-02-26 20:27:00,4
2023-02-26 19:57:03,2023-02-26 20:29:00,7A
2023-02-26 19:57:03,2023-02-26 20:37:00,40
2023-02-26 19:57:03,2023-02-26 20:46:00,7
2023-02-26 19:57:03,2023-02-26 20:52:00,40
2023-02-26 19:58:03,2023-02-26 20:01:00,7A
2023-02-26 19:58:03,2023-02-26 20:07:00,40
2023-02-26 19:58:03,2023-02-26 20:16:00,7
2023-02-26 19:58:03,2023-02-26 20:19:00,40
2023-02-26 19:58:03,2023-02-26 20:27:00,4
2023-02-26 19:58:03,2023-02-26 20:29:00,7A
2023-02-26 19:58:03,2023-02-26 20:37:00,40
2023-02-26 19:58:03,2023-02-26 20:46:00,7
2023-02-26 19:58:03,2023-02-26 20:52:00,40
2023-02-26 19:59:03,2023-02-26 20:01:00,7A
2023-02-26 19:59:03,2023-02-26 20:07:00,40
2023-02-26 19:59:03,2023-02-26 20:16:00,7
2023-02-26 19:59:03,2023-02-26 20:19:00,40
2023-02-26 19:59:03,2023-02-26 20:27:00,4
2023-02-26 19:59:03,2023-02-26 20:29:00,7A
2023-02-26 19:59:03,2023-02-26 20:37:00,40
2023-02-26 19:59:03,2023-02-26 20:46:00,7
2023-02-26 19:59:03,2023-02-26 20:52:00,40
2023-02-26 20:00:03,2023-02-26 20:01:00,7A
2023-02-26 20:00:03,2023-02-26 20:07:00,40
2023-02-26 20:00:03,2023-02-26 20:16:00,7
2023-02-26 20:00:03,2023-02-26 20:19:00,40
2023-02-26 20:00:03,2023-02-26 20:27:00,4
2023-02-26 20:00:03,2023-02-26 20:29:00,7A
2023-02-26 20:00:03,2023-02-26 20:37:00,40
2023-02-26 20:00:03,2023-02-26 20:46:00,7
2023-02-26 20:00:03,2023-02-26 20:52:00,40
2023-02-26 20:01:03,2023-02-26  20:01:00,7A
2023-02-26 20:01:03,2023-02-26 20:08:00,40
2023-02-26 20:01:03,2023-02-26 20:16:00,7
2023-02-26 20:01:03,2023-02-26 20:19:00,40
2023-02-26 20:01:03,2023-02-26 20:27:00,4
2023-02-26 20:01:03,2023-02-26 20:29:00,7A
2023-02-26 20:01:03,2023-02-26 20:46:00,7
2023-02-26 20:01:03,2023-02-26 20:52:00,40
2023-02-26 20:02:03,2023-02-26 20:07:00,40
2023-02-26 20:02:03,2023-02-26 20:16:00,7
2023-02-26 20:02:03,2023-02-26 20:19:00,40
2023-02-26 20:02:03,2023-02-26 20:27:00,4
2023-02-26 20:02:03,2023-02-26 20:29:00,7A
2023-02-26 20:02:03,2023-02-26 20:46:00,7
2023-02-26 20:02:03,2023-02-26 20:52:00,40
2023-02-26 20:03:03,2023-02-26 20:07:00,40
2023-02-26 20:03:03,2023-02-26 20:16:00,7
2023-02-26 20:03:03,2023-02-26 20:19:00,40
2023-02-26 20:03:03,2023-02-26 20:27:00,4
2023-02-26 20:03:03,2023-02-26 20:29:00,7A
2023-02-26 20:03:03,2023-02-26 20:40:00,40
2023-02-26 20:03:03,2023-02-26 20:46:00,7
2023-02-26 20:03:03,2023-02-26 20:52:00,40
2023-02-26 20:04:03,2023-02-26 20:07:00,40
2023-02-26 20:04:03,2023-02-26 20:16:00,7
2023-02-26 20:04:03,2023-02-26 20:19:00,40
2023-02-26 20:04:03,2023-02-26 20:27:00,4
2023-02-26 20:04:03,2023-02-26 20:29:00,7A
2023-02-26 20:04:03,2023-02-26 20:40:00,40
2023-02-26 20:04:03,2023-02-26 20:46:00,7
2023-02-26 20:04:03,2023-02-26 20:52:00,40
2023-02-26 20:05:03,2023-02-26 20:07:00,40
2023-02-26 20:05:03,2023-02-26 20:16:00,7
2023-02-26 20:05:03,2023-02-26 20:19:00,40
2023-02-26 20:05:03,2023-02-26 20:27:00,4
2023-02-26 20:05:03,2023-02-26 20:29:00,7A
